$ID,$ID_NAME,Description,Icon,Name,Type
101001,mon_paladin_follower1_2_hp,몬스터,icon_item_nothing,팔라딘 추종자A2,2
101002,mon_paladin_follower1_3_hp,몬스터,icon_item_nothing,팔라딘 추종자A3,2
103015,mon_paladin_follower1_3_Q,몬스터,icon_item_nothing,루클리스 부대원,2
107003,mon_npc_tila_monk2,몬스터,icon_item_nothing,수도사2,2
11282,mon_paladin_follower1_2,몬스터,icon_item_nothing,팔라딘 추종자A2,2
11283,mon_paladin_follower1_3,몬스터,icon_item_nothing,팔라딘 추종자A3,2
12080,HiddenTrigge_DMINE8_QUEST04,몬스터,icon_item_nothing,히든 트리거 몬스터형,2
12081,f_katyn_owl01,몬스터,icon_item_nothing,부엉이 조각상,2
147303,npc_zachariel_gate,,None,왕릉 게이트,2
147304,rokas_trap_dummy,,None,파괴된 이동트랩,2
147305,Firetower_Defense,,None,마법사의 탑 디펜스,2
147306,Firetower_GateOpen,,None,마법사의 탑 게이트,2
147307,Firetower_Offense,,None,마법사의 탑 오펜스,2
147308,Cat_Deagil,,None,대길이,2
147311,BOOK_01,,None,책,2
147312,LOST_PAPER,,None,바닥에 떨어진 종이,2
147313,Hogma_combat_gray,,None,호그마 석상,2
147315,Warleader_Hogma_gray,,None,호그마 전투대장 석상,2
147316,hogma_archer_gray,,None,호그마 석상2,2
147317,hogma_sorcerer_gray,,None,호그마 주술사 석상,2
147318,Hogma_combat_gray_01,,None,호그마 석상01,2
147319,Treasure_box_3cm,,None,보물 상자 3cm,2
147320,Treasure_box_katyn,,None,보물 상자 카틴,2
147321,Treasure_box_remain,,None,보물 상자 유적지대,2
147322,Treasure_box_siaul,,None,보물 상자 샤울레이,2
147323,Treasure_box_table,,None,보물 상자 고립고원,2
147325,npc_HOP_master,,minimap_man_master,하플라이트 마스터,2
147326,npc_CEN_master,,minimap_man_master,센츄리온 마스터,2
147327,npc_CAT_master,,minimap_man_master,캐터프랙트 마스터,2
147328,npc_PSY_master,,minimap_man_wizard,사이코키노 마스터,2
147329,npc_SOR_master,,minimap_man_wizard,소서러 마스터,2
147336,cablecar,,None,망가진 장치,2
147337,cemetery_irongate,,None,철문,2
147338,katyn_rock,,None,바위,2
147339,thorn_rock,,None,바위,2
147340,Treasure_box_rokas,,None,보물 상자 협곡,2
147341,Treasure_box_flash,,None,보물 상자 석화도시,2
147342,Treasure_box_prison,,None,보물 상자 감옥,2
147343,npc_RAG_master,,minimap_man_archer,레인저 마스터,2
147345,npc_historian_odel_body,,None,시레니아 오델,2
147346,npc_ftower_chair,,None,마법사의 탑 의자,2
